"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"squiggle","orange",6,-6,0,"accept",1764,1
2,"circle","blue",3,-2,1,"accept",1006,1
3,"squiggle","green",6,-3,3,"accept",1826,1
4,"rhombus","red",4,-1,3,"accept",2715,1
5,"square","yellow",1,-4,-3,"accept",1979,0
6,"squiggle","blue",6,-2,4,"accept",792,1
7,"triangle","green",2,-3,-1,"reject",944,1
8,"rhombus","purple",4,-5,-1,"accept",1527,0
9,"triangle","blue",2,-2,0,"accept",1176,1
10,"rhombus","yellow",4,-4,0,"accept",3731,1
11,"square","orange",1,-6,-5,"accept",894,0
12,"rhombus","blue",4,-2,2,"reject",1651,0
13,"diamond","yellow",5,-4,1,"accept",1386,1
14,"rhombus","green",4,-3,1,"accept",730,1
15,"rhombus","red",4,-1,3,"accept",1334,1
16,"square","blue",1,-2,-1,"accept",780,0
17,"diamond","yellow",5,-4,1,"reject",860,0
18,"rhombus","purple",4,-5,-1,"accept",731,0
19,"square","yellow",1,-4,-3,"accept",1498,0
20,"triangle","green",2,-3,-1,"accept",997,0
21,"squiggle","orange",6,-6,0,"accept",1463,1
22,"rhombus","red",4,-1,3,"reject",2088,0
23,"triangle","green",2,-3,-1,"reject",1884,1
24,"squiggle","red",6,-1,5,"accept",1115,1
25,"diamond","red",5,-1,4,"accept",623,1
26,"rhombus","purple",4,-5,-1,"accept",1282,0
27,"circle","blue",3,-2,1,"accept",1182,1
28,"square","yellow",1,-4,-3,"accept",1430,0
29,"square","purple",1,-5,-4,"accept",2991,0
30,"diamond","orange",5,-6,-1,"accept",571,0
31,"square","yellow",1,-4,-3,"accept",550,0
32,"circle","blue",3,-2,1,"reject",637,0
33,"rhombus","yellow",4,-4,0,"accept",746,1
34,"squiggle","yellow",6,-4,2,"accept",2225,1
35,"triangle","orange",2,-6,-4,"reject",1086,1
36,"diamond","yellow",5,-4,1,"accept",2333,1
37,"triangle","yellow",2,-4,-2,"accept",748,0
38,"square","purple",1,-5,-4,"accept",2529,0
39,"squiggle","red",6,-1,5,"reject",409,0
40,"diamond","yellow",5,-4,1,"accept",1282,1
41,"triangle","blue",2,-2,0,"reject",2274,1
42,"circle","red",3,-1,2,"accept",3202,1
43,"squiggle","red",6,-1,5,"accept",440,1
44,"rhombus","red",4,-1,3,"reject",755,0
45,"diamond","purple",5,-5,0,"reject",483,1
46,"diamond","blue",5,-2,3,"accept",339,1
47,"rhombus","green",4,-3,1,"accept",1936,1
48,"square","green",1,-3,-2,"accept",541,0
49,"rhombus","green",4,-3,1,"accept",1854,1
50,"square","orange",1,-6,-5,"reject",442,1
51,"square","yellow",1,-4,-3,"accept",2443,0
52,"squiggle","blue",6,-2,4,"accept",1109,1
53,"circle","green",3,-3,0,"accept",429,1
54,"squiggle","blue",6,-2,4,"reject",2175,0
55,"square","blue",1,-2,-1,"reject",374,1
56,"rhombus","orange",4,-6,-2,"reject",782,1
57,"squiggle","blue",6,-2,4,"accept",857,1
58,"circle","red",3,-1,2,"reject",697,0
59,"square","green",1,-3,-2,"accept",1924,0
60,"square","purple",1,-5,-4,"accept",640,0
61,"circle","blue",3,-2,1,"reject",1040,0
62,"circle","red",3,-1,2,"reject",669,0
63,"square","purple",1,-5,-4,"reject",1381,1
64,"circle","red",3,-1,2,"reject",1330,0
65,"triangle","green",2,-3,-1,"reject",2741,1
66,"triangle","orange",2,-6,-4,"accept",1221,0
67,"squiggle","green",6,-3,3,"accept",1932,1
68,"diamond","purple",5,-5,0,"reject",2765,1
69,"diamond","blue",5,-2,3,"accept",2089,1
70,"triangle","yellow",2,-4,-2,"accept",1248,0
71,"square","blue",1,-2,-1,"accept",680,0
72,"rhombus","orange",4,-6,-2,"reject",1421,1
73,"triangle","red",2,-1,1,"accept",1090,1
74,"diamond","blue",5,-2,3,"reject",3380,0
75,"square","blue",1,-2,-1,"reject",2228,1
76,"circle","red",3,-1,2,"accept",1563,1
77,"square","purple",1,-5,-4,"reject",775,1
78,"squiggle","purple",6,-5,1,"reject",930,0
79,"square","green",1,-3,-2,"accept",1034,0
80,"circle","purple",3,-5,-2,"accept",1000,0
81,"diamond","yellow",5,-4,1,"accept",732,1
82,"diamond","purple",5,-5,0,"reject",1127,1
83,"square","blue",1,-2,-1,"accept",2744,0
84,"diamond","red",5,-1,4,"accept",2194,1
85,"circle","orange",3,-6,-3,"accept",1240,0
86,"rhombus","yellow",4,-4,0,"accept",2934,1
87,"triangle","purple",2,-5,-3,"reject",596,1
88,"squiggle","green",6,-3,3,"accept",1250,1
89,"rhombus","red",4,-1,3,"accept",532,1
90,"squiggle","blue",6,-2,4,"accept",661,1
91,"square","red",1,-1,0,"accept",2146,1
