"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"circle","orange",3,-6,-3,"reject",1318,1
2,"rhombus","red",4,-1,3,"accept",1779,1
3,"diamond","yellow",5,-4,1,"accept",1228,1
4,"circle","orange",3,-6,-3,"accept",1130,0
5,"circle","orange",3,-6,-3,"accept",2062,0
6,"rhombus","blue",4,-2,2,"reject",2523,0
7,"circle","blue",3,-2,1,"accept",1431,1
8,"rhombus","green",4,-3,1,"reject",661,0
9,"diamond","yellow",5,-4,1,"reject",545,0
10,"triangle","blue",2,-2,0,"reject",912,1
11,"diamond","yellow",5,-4,1,"accept",2613,1
12,"triangle","orange",2,-6,-4,"accept",625,0
13,"circle","purple",3,-5,-2,"accept",618,0
14,"circle","green",3,-3,0,"accept",760,1
15,"square","yellow",1,-4,-3,"accept",989,0
16,"square","red",1,-1,0,"accept",642,1
17,"squiggle","orange",6,-6,0,"reject",2117,1
18,"rhombus","blue",4,-2,2,"reject",1048,0
19,"square","orange",1,-6,-5,"reject",875,1
20,"rhombus","yellow",4,-4,0,"accept",1192,1
21,"rhombus","red",4,-1,3,"reject",1785,0
22,"circle","yellow",3,-4,-1,"reject",628,1
23,"rhombus","red",4,-1,3,"accept",1839,1
24,"circle","blue",3,-2,1,"accept",770,1
25,"circle","red",3,-1,2,"accept",838,1
26,"circle","red",3,-1,2,"accept",1759,1
27,"circle","purple",3,-5,-2,"reject",1935,1
28,"circle","blue",3,-2,1,"accept",907,1
29,"squiggle","orange",6,-6,0,"accept",785,1
30,"square","orange",1,-6,-5,"reject",693,1
31,"diamond","purple",5,-5,0,"accept",1476,1
32,"squiggle","orange",6,-6,0,"accept",2882,1
33,"triangle","green",2,-3,-1,"reject",2618,1
34,"square","yellow",1,-4,-3,"accept",2354,0
35,"square","blue",1,-2,-1,"accept",792,0
36,"rhombus","red",4,-1,3,"reject",1099,0
37,"squiggle","red",6,-1,5,"reject",1001,0
38,"rhombus","blue",4,-2,2,"accept",2213,1
39,"circle","orange",3,-6,-3,"reject",1690,1
40,"square","blue",1,-2,-1,"reject",2156,1
41,"triangle","red",2,-1,1,"reject",777,0
42,"rhombus","blue",4,-2,2,"reject",832,0
43,"rhombus","purple",4,-5,-1,"accept",2211,0
44,"diamond","purple",5,-5,0,"accept",1378,1
45,"rhombus","red",4,-1,3,"accept",1434,1
46,"triangle","blue",2,-2,0,"accept",1445,1
47,"circle","yellow",3,-4,-1,"accept",1162,0
48,"circle","green",3,-3,0,"reject",1027,1
49,"rhombus","orange",4,-6,-2,"accept",2419,0
50,"diamond","yellow",5,-4,1,"accept",642,1
51,"triangle","blue",2,-2,0,"accept",1244,1
52,"squiggle","orange",6,-6,0,"accept",789,1
53,"squiggle","yellow",6,-4,2,"reject",686,0
54,"diamond","blue",5,-2,3,"accept",891,1
55,"square","yellow",1,-4,-3,"reject",1695,1
56,"squiggle","yellow",6,-4,2,"accept",500,1
57,"circle","orange",3,-6,-3,"accept",1957,0
58,"squiggle","green",6,-3,3,"accept",1217,1
59,"rhombus","red",4,-1,3,"accept",2969,1
60,"diamond","orange",5,-6,-1,"accept",1167,0
61,"triangle","orange",2,-6,-4,"accept",3070,0
62,"circle","yellow",3,-4,-1,"accept",779,0
63,"square","red",1,-1,0,"accept",2120,1
64,"triangle","orange",2,-6,-4,"reject",623,1
65,"triangle","red",2,-1,1,"accept",1988,1
66,"square","red",1,-1,0,"reject",4523,1
67,"squiggle","blue",6,-2,4,"reject",2302,0
68,"square","blue",1,-2,-1,"accept",629,0
69,"squiggle","blue",6,-2,4,"accept",479,1
70,"squiggle","red",6,-1,5,"reject",1130,0
71,"circle","blue",3,-2,1,"accept",635,1
72,"squiggle","purple",6,-5,1,"accept",1965,1
73,"rhombus","yellow",4,-4,0,"reject",2955,1
74,"rhombus","purple",4,-5,-1,"reject",1789,1
75,"rhombus","orange",4,-6,-2,"accept",2554,0
76,"triangle","green",2,-3,-1,"accept",864,0
77,"rhombus","blue",4,-2,2,"accept",3868,1
78,"diamond","orange",5,-6,-1,"accept",1154,0
79,"diamond","orange",5,-6,-1,"reject",703,1
80,"circle","yellow",3,-4,-1,"accept",641,0
81,"triangle","yellow",2,-4,-2,"accept",1372,0
