"age","trial","shape","colour","shape_value","colour_value","value","choice","accuracy","rt"
30,1,"diamond","red",5,-1,4,"accept",1,746
30,2,"rhombus","green",4,-3,1,"accept",1,1526
30,3,"rhombus","purple",4,-5,-1,"accept",0,672
30,4,"rhombus","purple",4,-5,-1,"reject",1,1003
30,5,"diamond","yellow",5,-4,1,"accept",1,1547
30,6,"square","red",1,-1,0,"accept",1,1037
30,7,"squiggle","yellow",6,-4,2,"accept",1,2878
30,8,"triangle","orange",2,-6,-4,"reject",1,1561
30,9,"circle","red",3,-1,2,"reject",0,1711
30,10,"circle","orange",3,-6,-3,"accept",0,750
30,11,"triangle","orange",2,-6,-4,"accept",0,1289
30,12,"rhombus","red",4,-1,3,"accept",1,1048
30,13,"triangle","purple",2,-5,-3,"accept",0,1808
30,14,"circle","orange",3,-6,-3,"accept",0,1035
30,15,"diamond","purple",5,-5,0,"reject",1,484
30,16,"rhombus","yellow",4,-4,0,"accept",1,1421
30,17,"circle","orange",3,-6,-3,"accept",0,1630
30,18,"squiggle","yellow",6,-4,2,"accept",1,1514
30,19,"squiggle","orange",6,-6,0,"accept",1,765
30,20,"diamond","purple",5,-5,0,"accept",1,1299
30,21,"rhombus","green",4,-3,1,"accept",1,875
30,22,"triangle","yellow",2,-4,-2,"accept",0,853
30,23,"triangle","purple",2,-5,-3,"accept",0,469
30,24,"square","orange",1,-6,-5,"reject",1,1749
30,25,"rhombus","green",4,-3,1,"accept",1,1371
30,26,"diamond","green",5,-3,2,"accept",1,2896
30,27,"triangle","red",2,-1,1,"reject",0,2061
30,28,"rhombus","purple",4,-5,-1,"reject",1,1015
30,29,"square","yellow",1,-4,-3,"accept",0,2387
30,30,"square","purple",1,-5,-4,"accept",0,1349
30,31,"triangle","green",2,-3,-1,"reject",1,2755
30,32,"rhombus","green",4,-3,1,"accept",1,3981
30,33,"diamond","red",5,-1,4,"reject",0,2407
30,34,"square","yellow",1,-4,-3,"accept",0,753
30,35,"squiggle","yellow",6,-4,2,"accept",1,2049
30,36,"square","purple",1,-5,-4,"accept",0,1333
30,37,"circle","red",3,-1,2,"reject",0,1155
30,38,"square","green",1,-3,-2,"accept",0,1105
30,39,"circle","red",3,-1,2,"reject",0,663
30,40,"triangle","green",2,-3,-1,"accept",0,567
30,41,"squiggle","yellow",6,-4,2,"accept",1,1103
30,42,"rhombus","yellow",4,-4,0,"accept",1,799
30,43,"circle","purple",3,-5,-2,"accept",0,3486
30,44,"square","green",1,-3,-2,"accept",0,1242
30,45,"squiggle","blue",6,-2,4,"accept",1,2459
30,46,"squiggle","red",6,-1,5,"accept",1,2267
30,47,"square","purple",1,-5,-4,"reject",1,2605
30,48,"diamond","green",5,-3,2,"accept",1,2038
30,49,"triangle","green",2,-3,-1,"accept",0,1441
30,50,"circle","purple",3,-5,-2,"reject",1,1131
30,51,"rhombus","yellow",4,-4,0,"accept",1,2471
30,52,"rhombus","red",4,-1,3,"reject",0,1397
30,53,"squiggle","orange",6,-6,0,"accept",1,3320
30,54,"triangle","purple",2,-5,-3,"accept",0,828
30,55,"rhombus","blue",4,-2,2,"reject",0,3125
30,56,"diamond","yellow",5,-4,1,"accept",1,2081
30,57,"square","purple",1,-5,-4,"accept",0,851
30,58,"squiggle","blue",6,-2,4,"accept",1,2871
30,59,"square","yellow",1,-4,-3,"reject",1,709
30,60,"diamond","purple",5,-5,0,"accept",1,1391
30,61,"circle","orange",3,-6,-3,"accept",0,1772
30,62,"triangle","orange",2,-6,-4,"accept",0,629
30,63,"diamond","red",5,-1,4,"accept",1,3678
30,64,"rhombus","purple",4,-5,-1,"accept",0,1719
30,65,"squiggle","blue",6,-2,4,"reject",0,641
30,66,"square","green",1,-3,-2,"reject",1,2517
30,67,"triangle","purple",2,-5,-3,"reject",1,912
30,68,"square","green",1,-3,-2,"accept",0,1884
30,69,"circle","purple",3,-5,-2,"reject",1,614
30,70,"triangle","yellow",2,-4,-2,"accept",0,1509
30,71,"triangle","yellow",2,-4,-2,"reject",1,1222
30,72,"triangle","purple",2,-5,-3,"reject",1,1376
30,73,"square","purple",1,-5,-4,"accept",0,1189
30,74,"squiggle","purple",6,-5,1,"accept",1,1127
30,75,"diamond","purple",5,-5,0,"accept",1,936
